City,Company,Region,Position,Employment_type,Industry,Standing,Preferred_mj1,Preferred_mj2,Preferred_lang1,Preferred_lang2,Minimum_exp_years,Estimate_minimum_average_salary,
Costa Mesa,Experian,South CA,IT Data Automation Engineer,Full time,Finance,All levels,Computer Science,Statistics,SQL,SQS,5,70000,
San Francisco,Centro,North CA,Senior Data Engineer,Full time,Information Technology,BS/BA,Computer Science,Software Engineering,SQL,Python,1,169000,
San Francisco,Instacart,North CA,Senior Data Engineer,Full time,Consumer Services,BS/BA,Computer Science,Engineering,SQL,Python,1,137000,
San Francisco,Avenue Code,North CA,Big data engineer,Full time,Information Technology,BS/BA,Computer Science,Computer Engineering,Python,Scala,5,118000,
Cloverdale,MolyWorks Materials Corporation,North CA,Metallurgical Engineer / Analytical Scientist,Full time,Developing materials,BS,Engineering,Science,Excel,Access,1,NA,
San Francisco,Woebot,North CA,Data Scientist,Full time,Healthcare,BS,Computer Science,Related Technical Field,ML,NLP,1,NA,
Palo Alto,Tencent America LLC,North CA,Data Scientist,Full time,Gaming,MS/PH.D,Machine Learning,Related Technical Field,Python,Java,1,101000,
Redwood City,Carbon3D,North CA,Physical Data Scientist,Full time,Hardware Software,MS/PH.D,Applied Statistic,STEM field,Lab R&D,JavaScript,5,NA,
San Francisco,Niantic Inc,North CA,Data Scientist,Full time,Computer Software,BS/BA,Statistics,Applied Mathematics,SQL,R,1,120000,
San Mateo,Atipica,North CA,Data Scientist,Full time,Computer Software,BS/BA,Math,Statistics,R,SQL,4,NA,
Mountain View,Adecco,North CA,Data Science Analyst,Contract,Consumer Services,NA,Statistics,Related Technical Field,SQL,Python,1,114400,
Palo Alto,Mojio,North CA,Data Scientist,Full time,Information Technology and Services,MS/PH.D,Computer Science,Electrical Engineering,Python,Java,5,101610,
Palo Alto,Landing.ai,North CA,Data Scientist,Full time,Computer Software,BS/MS,Computer Science,Statistics,R,SQL,1,NA,
Palo Alto,Myntra,North CA,Data Scientist,Full time,Computer Software,PH.D,Engineering,Computer Science,Python,R,5,NA,
Alameda,"The Mice Groups, Inc",North CA,Data Scientist,Full time,Computer Software,BS,Computer Science,Related Technical Field,SQL,R,2,125000,
Mountain View,Omlet Inc,North CA,Data Scientist,Full time,Internet,BS/MS,Computer Science,MIS,SQL,R,4,NA,
San Francisco,Calico Life Sciences,North CA,Data Scientist,Full time,Biotechnology,PH.D,Bioinformatics,Computational Biology,Python,SQL,6,125000,
