City,Company,Region,Position,Employment_type,Industry,Standing,Preferred_mj1,Preferred_mj2,Preferred_lang1,Preferred_lang2,Minimum_exp_years,Estimate_minimum_average_salary,
San Francisco,Cruise Automation,North CA,Engineering Manager - Data Science,Full time,Information Technology,BA/BS,Computer Science,Related Technical Field,Spark,ML pipelines,2,161000,
Mountain View,23andMe,North CA,Data Scientist,Full time,Biotech & Pharmaceuticals,MS,Statistics,Computer Science,R,Python,5,112000,
Santa Clara,realtor.com ,North CA,Principal Data Scientist,Full time,Media,MS/PH.D,Statistics,Computer Science,SQL,R,5,176000,
San Francisco,AVANIR Pharmaceuticals,North CA,Clinical Data Manager II,Full time,Biotech & Pharmaceuticals,BA/BS,Clinical Data Management,life Science,SQL,SAS,5,62000,
San Francisco,Ubisoft,North CA,"Data Scientist, Audience Science",Full time,Media,MS/PH.D,Computer Science,Math,SQL,R,3,108000,
Westwood,UCLA HEALTH,North CA,Senior Data Engineer,Full time,Health Care,BA/BS,Computer Science,Computer Engineering,SQL,Hive,2,116000,
San Francisco,Komodo Health,North CA,Senior Software Engineer,Full time,Unknown,BS/MS,Computer Science,Related Technical Field,SQL,Python,5,NA,
Chatsworth,Cal Net Technology Group,South CA,Systems Engineer II,Full time,Information Technology,NA,Quantitative fields,NA,MS Office,Adobe,1,42000,
Redwood City,C3 IoT,North CA,Data Scientist,Full time,Information Technology,MS/PH.D,Computer Science,Statistics,Python,R,1,133000,
Mountain View,Intuit,North CA,"Staff Data Scientist, Technical Analytics",Full time,Information Technology,NA,Data Engineering,Data Related field,Python,R,5,187000,
Campbell,Barracuda,South CA,South CA,Contract,Information Technology,NA,Data Related fields,NA,Excel,DUNs numbers,1,NA,
San Francisco,mapper.ai ,North CA,"Data Annotator, 3D Machine Readable Maps (Contract)",Contract,Information Technology,NA,Related Technical Field,NA,"3D Modeling Tools ( Illustrator, SketchUp, or Poly)",NA,1,NA,
Alameda,CyberCoders,North CA,Contract Sr. Software Engineer,Contract,Business Services,NA,Quantitative fields,NA,C/C++,MS Office,5,NA,
Mountain View,Saavn,North CA,Software Engineering Intern,Internship,Media,BA/BS/PH.D,Computer Science,Computer Engineering,Scripting Language,NA,1,74000,
San Jose,Cisco Systems,North CA,Data Scientist (Intern) - United States,Internship,Information Technology,All levels,Computer Science,Information Management,SQL,Python,1,50000,
Alhambra,Community Development Commission of the County of Los Angeles,South CA,Affordable Housing Data Analyst Intern,Internship,Government,NA,Data Related field,NA,Macros,Excel,1,NA,
Costa Mesa,Experian Ltd,South CA,MBA Data Strategy Intern,Internship,Finance,MBA,Program Management,Business,Data Related Skills,NA,1,NA,
Redwood City,Alation,North CA,Software Engineering Intern,Internship,Information Technology,All levels,Computer Science,Related Technical Field,Python,Java,2,NA,
Berkeley,Kloudless,North CA,Software Engineer Intern,Internship,Information Technology,NA,Related Technical Field,NA,Python,Ruby,1,NA,
Foster City,"Nfinite Business, Inc",North CA,Intern - Tableau Data Analyst,Internship,Unknown,NA,Data Related field,NA,SQL,Tableau,1,NA,
Irvine,Samsung Research America,South CA,Software Intern,Internship,Information Technology,BA/BS/MS,Distributed Data Processing,Quantitative fields,SQL,Java,1,NA,
San Francisco,Kforce,North CA,"Data Analyst, Digital Analytics",Full time,Business Services,NA,Business,Data Related field,SQL,Tableau,1,NA,
Los Angeles,Solugenix Corporation,South CA,Data Analyst,Full time,Information Technology,BA/BS,Business,Data Related field,SQL,Python,5,49000,
Redwood City,Mixbook,North CA,Data Analyst,Full time,Retail,BA/BS,Computer Science,Statistics,SQL,MS Excel,3,56000,
Sacramento,Jackson Lewis,North CA,Data Analyst,Full time,Accounting & Legal,BA/BS,Statistics,Data Related field,MS Excel,MS Office,1,39000,
San Francisco,Stanza,North CA,Data Analyst - Revenue,Full time,Information Technology,NA,Related Technical Field,NA,SQL,R,1,NA,
Santa Monica,"TrueCar, Inc.",South CA,Data Analyst,Full time,Information Technology,BA/BS,Data Related field,NA,MS Excel,MS Powerpoint,3,56000,
Corona,"The Judge Group, Inc.",South CA,Data Analyst,Full time,Business Services,NA,Statistics,Data Mining,SQL,Python,1,NA,
Mountain View,Addepar,North CA,Enterprise Data Analyst,Full time,Information Technology,NA,Finance Industry,Data Related field,SQL,Python,1,70000,
Santa Ana,Advantmed,South CA,Healthcare Data Analyst,Full time,Health Care,BA/BS,Computer Engineering,Math,SQL,MS Excel,2,66000,
San Francisco,Agoda,North CA,Senior Machine Learning Product Scientist,Full time,Information Technology,All levels,Statistics,Machine learning,R,Python,2,156000,
Foster City,Qualys,North CA,Senior Data Scientist,Full time,Information Technology,All levels,Computer Science,Statistics,Python,R,7,185000,
San Jose,ASML,North CA,Data Scientist,Full time,Information Technology,MS/PH.D,Computer Science,Math,Python,Java,1,136000,
Santa Barbara,Apeel Sciences,South CA,Data Scientist,Full time,Unknown,MS/PH.D,Biological science,Statistics,SQL,Python,4,80000,
San Francisco,First Republic Bank,North CA,Data Scientist / Data Engineer,Full time,Finance,NA,Statistics,Data Related field,SQL,Java,1,109000,
Palo Alto,Bain & Company,North CA,Data Scientist,Full time,Business Services,MS/PH.D,Computer Science,Statistics,Python,SQL,5,101000,
San Francisco,Trulia,North CA,Data Scientist,Full time,Information Technology,All levels,Computer Science,Computer Vision,Java,Python,2,118000,
San Francisco,Metabiota,North CA,Data Scientist,Full time,Biotech & Pharmaceuticals,BS,Statistics,Biostatistics,Python,SAS,1,126000,
San Francisco,Twist Bioscience,North CA,Data Scientist,Full time,Biotech & Pharmaceuticals,PH.D,Molecular Biology,Related Technical Field,Python,R,5,100000,
San Francisco,Akili Interactive,North CA,Data Scientist,Full time,Biotech & Pharmaceuticals,All levels,Statistics,Computer Science,Python,Scala,1,NA,
San Francisco,Juvo,North CA,Data Scientist,Full time,Unknown,MS/PH.D,Computer Science,Math,Python,R,5,NA,
San Francisco,AppDynamics,North CA,Sr Data Engineer,Full time,Information Technology,BS/MS,Computer Science,Related Technical Field,Python,SQL,1,160000,
San Francisco,New Relic,North CA,"Senior Software Engineer, Data Infrastructure",Full time,Information Technology,NA,Software Engineering,Related Technical Field,SQL,Python,4,144000,
San Jose,Enquero,North CA,Data Scientist,Full time,Business Services,NA,Machine Learning,Data Related field,SQL,Python,3,91000,
San Francisco,Samba TV,North CA,Data Scientist,Full time,Business Services,All levels,Computer Science,Statistics,SQL,Python,2,130000,
San Jose,Artech Information Systems,North CA,Data Scientist,Full time,Business Services,All levels,Statistics,Computer Science,SQL,R,5,NA,
Santa Monica,Fair,South CA,Data Scientist,Full time,Information Technology,BA/BS,Computer Science,Quantitative fields,Python,Tableau,1,NA,
San Francisco,TaskRabbit,North CA,Data Scientist,Full time,Information Technology,All levels,Computer Science,Engineering,Numpy,Pandas,2,140000,
San Mateo,Feedzai,North CA,Data Scientist,Full time,Information Technology,MS/PH.D,Computer Science,Machine Learning,Python,Java,1,110000,
El Monte,East West Bank,South CA,Data Analyst,Full time,Finance,BS,Finance,Businness,SQL,Microsoft Office,2,42000,
Gold River,PTP,North CA,Data Scientist,Full time,Information Technology,PH.D,Computer Science,Machine Learning,SQL,C/C++,1,NA,
Marina del Rey,ZEFR,South CA,Data Scientist,Full time,Media,All levels,Computer Science,Data Related field,Scala,Python,3,86000,
San Francisco,Naborly,North CA,Data Scientist,Full time,Real Estate,MS/PH.D,Computer Science,Engineering,SQL,R,4,NA,
Santa Clara,Aruba Networks,North CA,Data Scientist,Full time,Information Technology,NA,Machine Learning,Data Related field,Python,R,6,125000,
Los Angeles,ZestFinance,South CA,Machine Learning Engineer,Full time,Finance,All levels,Computer Science,Engineering,ML Algorithm,TensorFlow,1,93000,
Irvine,Collabera,South CA,Data & Process Analyst,Full time,Information Technology,NA,Business,Data Related field,Excel,BO( Business Object),1,NA,
San Mateo,Mintigo,North CA,Data and Insights Analyst,Full time,Information Technology,BA/BS,Computer Science,Statistics,Python,Scripting Language,1,NA,
San Jose,7.ai ,North CA,Sr. Data Analyst,Full time,Business Services,NA,Related Technical Field,NA,SQL,Python,5,97000,
Los Angeles,AEG,South CA,Data Analyst,Full time,Real Estate,BA/BS,Statistics,Data Related field,SQL,R,3,50000,
Foster City,Qualys,North CA,Data Analyst,Full time,Information Technology,BA/BS,Accounting,Related Technical Field,SQL,ODBC,2,67000,
Los Angeles,Aspiration,South CA,Data Analyst,Full time,Finance,BA/BS,Computer Science,Statistics,SQL,Related Programming Language,2,NA,
San Francisco,Avispa Technology,North CA,Business/Data Analyst,Full time,Information Technology,BA/BS,Data Related field,NA,Excel,Google Spreadsheets,1,NA,
San Francisco,App Annie,North CA,Senior Mobile Data Analyst,Full time,Information Technology,BA/BS,Related Technical Field,NA,SQL,Python,1,101000,
San Jose,Odecee,North CA,Data Analyst,Full time,Information Technology,BA/BS,Science,Engineering,SQL,POC,1,NA,
Palo Alto,Tiny,North CA,Data Analyst,Full time,Business Services,BS/MS,Computer Science,Engineering,SQL,Excel,3,NA,
Sunnyvale,NetApp,North CA,Supply Chain Data Analyst,Full time,Information Technology,BA/BS,Analytic Discipline,Related Technical Field,Microsoft Office,SW,3,81000,
Santa Barbara,Cencal Health,South CA,IT Healthcare Data Analyst,Full time,Non-Profit,NA,Related Technical Field,NA,BI tools,Related Programming Language,1,NA,
San Francisco,comScore,North CA,Data Analyst,Full time,Business Services,BA/BS,Computer Science,Engineering,Python,SQL,2,67000,
San Francisco,Pinterest,North CA,"Data Engineer, Analytics",Full time,Information Technology,All levels,Computer Science,Statistics,Python,Java,3,151000,
San Jose,Marvell Technology,North CA,Senior Software Engineer,Full time,Manfacturing,BS/MS,Computer Science,Computer Engineering,C/C++,Software Programming Language,8,102000,
Santa Clara,NVIDIA,North CA,Senior Systems Software Engineer,Full time,Information Technology,BS,Computer Science,Computer Engineering,C/C++,Related Programming Language,3,120000,
San Francisco,Pinterest,North CA,"Data Engineer, Metrics Quality",Full time,Information Technology,All levels,Computer Science,Statistics,Python,Scala,3,151000,
Mountain View,Tubular Labs,North CA,Data Scientist,Full time,Information Technology,MS/PH.D,Machine Learning,Statistics,Python,Java,4,97000,
Irvine,TGS Management Company,South CA,Tooling & Data Visualization Engineer,Full time,Finance,NA,Related Technical Field,NA,JavaScript,Python,1,NA,
Fremont,Soraa Inc.,North CA,Data Engineer,Full time,Electrical & Electronic Manufacturing,BS,Computer Science,Engineering,SQL,Microsoft Office,5,128000,
Redwood City,Genomic Health,North CA,Data Engineer,Full time,Biotech & Pharmaceuticals,BS,Life sciences,Computer Science,SQL,R,2,141000,
Palo Alto,Chan Zuckerberg Initiative,North CA,Data Engineer,Full time,Social Assistance,All levels,Software Engineering,Data Engineering,SQL,Python,1,NA,
Sunnyvale,Amazon,North CA,Data Engineer,Full time,Internet,BS,Computer Science,Computer Engineering,SQL,Python,3,120000,
Sunnyvale,Amazon,North CA,Data Engineer - Alexa Information Experience,Full time,Internet,BS,Computer Science,Math,SQL,Python,3,120000,
Sunnyvale,Walmart eCommerce,North CA,Staff Software Engineer - Data Eng focus,Full time,Information Technology,All levels,Computer Science,Statistics,C/C++,Python,1,138000,
Redwood City,Shopkick,North CA,Senior Data Engineer,Full time,Business Services,All levels,Computer Science,Related Technical Field,SQL,Python,3,166000,
San Francisco,Stitch Fix,North CA,Data Platform Engineer - Algorithm Development Platform,Full time,Retail,MS/PH.D,Computer Science,Math,SQL,Python,1,107000,
San Francisco,Sony PlayStation,North CA,Senior Machine Learning Engineer,Full time,Media,MS,Machine Learning,Related Technical Field,Python,Java,6,132000,
San Francisco,Proofpoint,North CA,Staff Spam Data Engineer – Safe Messaging Cloud,Full time,Information Technology,BS,Computer Science,Data Related field,SQL,Python,1,144000,
Menlo Park,Robinhood,North CA,Data Scientist,Full time,Finance,BS/BA,Statistics,Math,Python,R,2,123000,
Davis,Engage3,South CA,Data Scientist,Full time,Information Technology,MS/PH.D,Computer Science,Engineering,SQL,Python,2,NA,
San Francisco,Calm,North CA,Data Scientist,Full time,Unknown,All levels,Statistics,Economics,SQL,Python,1,NA,
Los Angeles,Factual,South CA,Associate Data Scientist,Full time,Information Technology,NA,Machine Learning,Related Technical Field,SQL,Python,1,114000,
San Mateo,Ten-X,North CA,Data Engineer,Full time,Information Technology,BA/BS,Computer Science,Statistics,SQL,Python,5,123000,
Mountain View,Qventus,North CA,Data Scientist,Full time,Information Technology,NA,Machine Learning,Statistics,SQL,Python,4,NA,
San Francisco,Scribd,North CA,Data Scientist,Full time,Media,All levels,Computer Science,Statistics,Python,R,3,125000,
San Francisco,Profusa,North CA,Data Scientist,Full time,Unknown,MS/PH.D,Biomedical Engineering,Computer Science,Python,C/C++,4,114193,
San Jose,VDart Inc.,North CA,Data Scientist,Full time,Information Technology,All levels,Computer Science,Math,Python,R,5,94000,
Stanford,NxT Level,North CA,Data Scientist,Full time,Unknown,NA,Finance,Related Technical Field,API,Related Programming Language,1,NA,
San Francisco,Clover Health,North CA,Data Scientist,Full time,Health Care,NA,Statistics,Machine Learning,Related Programming Language,NA,1,125000,
Pleasanton,Veeva Systems,North CA,Senior Data Scientist,Full time,Information Technology,BS,Statistics,Computer Science,R,Python,5,130000,
Fremont,Beacon Hill Staffing Group,North CA,Data Scientist,Full time,Business Services,BS/MS,Statistics,Computer Science,Python,Excel,1,NA,
Mountain View,"Data Engineer, Degrees",North CA,Data Scientist,Full time,Education,NA,Data Engineering,Related Technical Field,SQL,Python,3,167000,
San Francisco,"Dialpad, Inc.",North CA,Data Engineer,Full time,Telecommunications,All levels,Computer Science,Software Engineering,Python,BigQuery,1,123000,
San Mateo,Rakuten,North CA,Data Engineer,Full time,Information Technology,BS/MS,Computer Science,Related field,SQL,Python,5,101000,
San Mateo,Snowflake Computing,North CA,Data Engineer,Full time,Information Technology,All levels,Computer Science,Related field,SQL,Scala,1,111000,
Northridge,Pharmavite,South CA,Data Engineer,Full time,Manufacturing,All levels,Data Engineering,Data management,Spark,Java,7,112000,
San Francisco,Automattic,North CA,Data Engineer,Full time,Information Technology,All levels,Computer Science,Related field,Hlive,Spark,1,136000,
Emeryville,Change Healthcare,North CA,Data Engineer,Full time,Health Care,All levels,Computer Science,Related field,SQL,"Query languages: Spark, Hive, Pig",1,118000,
Emeryville,Nexon M,North CA,Data Engineer,Full time,Media,BS,Computer Science,NA,Hadoop,MySQL,3,110000,
Santa Monica,Brighter,South CA,Data Engineer,Full time,Information Technology,All levels,Data engineering,Related field,SQL,Python,5,106000,
Santa Monica,Leaf Group,South CA,Data Engineer Intern - Business Intelligence,Full time,Information Technology,BS,Computer Science,Engineering,Python,SQL,1,72000,
Glendale,Age of Learning,South CA,Data Engineer,Full time,Education,All levels,Data - reated field,NA,Python,R,3,90000,
Los Angeles,Lieberman Research Worldwide,South CA,Data Scientist,Full time,Business Services,MS,Computer Science,Data Science,R,SQL,1,100000,
Los Angeles,GOAT,South CA,Data Engineer,Full time,Information Technology,BS/MS,Computer Science,Computer Engineering,Python,GoLang,3,NA,
El Monte,East West Bank,South CA,Data Analyst,Full time,Finance,BS,Finance,Business,Microsoft Office,SQL,2,42000,
Burbank,Warner Bros.,South CA,Data Engineer,Full time,Media,BS,Computer Science,Related field,NoSQL,Cassandra,3,111000,
Orange,Slalom LLC.,South CA,Data Engineer,Full time,Business Services,BS,Computer Science,Related field,SQL,Python,3,105000,
Diamond Bar,Atrilogy,South CA,Data Engineer,Full time,Information Technology,BS/BA,Business Information Systems,Business Administration,Microsoft Office,Oracle,4,NA,
Pasadena,Red Ventures,South CA,Spark Data Engineer,Full time,Business Services,All levels,Computer Science,Related field,SparkSQL,ANSI SQL relational database,1,86000,
Glendale,Walt Disney Company,South CA,Data Engineer,Full time,Media,BS,Computer Science,Mathematics,Java,Kotlin,3,110000,
Orange,Alignment Healthcare,South CA,"Data Engineer, Azure",Full time,Health Care,BS/MS,Computer Science,Engineering,SQL Server,Oracle,2,120000,
Los Angeles,SADA Systems Inc.,South CA,Data Architect,Full time,Information Technology,All levels,Computer Science,Related field,Data Structures,Linux,4,110000,
Glendale,Beyond Limits,South CA,Big Data Engineer,Full time,Artifical Intelligence,BS/MS,Computer Science,Computer Engineering,Go,Python,2,NA,
San Francisco,HotSchedules,North CA,Data Engineer,Full time,Information Technology,All levels,Software Engineering,Related field,Python,Scala,4,115000,
San Francisco,Akili Interactive,North CA,Data Engineer,Full time,Biotech & Pharmaceuticals,BS/MS,Computer Science,Related field,AWS,NoSQL,4,NA,
Foster City,Agari,North CA,Software Engineer - Data,Full time,Information Technology,All levels,Computer Science,Related field,R,RDBMS,1,131000,
San Francisco,HealthTap,North CA,Data Engineer,Full time,Information Technology,BS/MS,Computer Science,Engineering,ETL,SQL,3,109000,
San Francisco,Roam,North CA,Data Engineer,Full time,Information Technology,All levels,Computer Science,Related field,Python,Spark,1,NA,
Palo Alto,Adara Media,North CA,Data Engineer,Full time,Business Services,BS/MS,STEM fields,Related field,SQL,Python,6,141000,
Santa Monica,Tala,South CA,Data Scientist,Full time,Finance,MS/PH.D,Data Science,Related Technical Field,Python,Related Programming Language,2,88000,
San Mateo,Alteryx,North CA,"Product Manager, Data and Tech Partners",Full time,Information Technology,BA/BS,Computer Science,Science,Azure,Related Programming Language,5,96000,
San Francisco,Sojern,North CA,Senior Data Science Engineer,Full time,Business Services,MS/PH.D,Computer Science,STEM fields,Python,Related Programming Language,1,175000,
San Francisco,comScore,North CA,Data Analyst,Full time,Business Services,BS/BA,Computer Science,Engineering,Python,SQL,2,67000,
Palo Alto,IdentityMind,North CA,Data Scientist,Full time,Finance,NA,Software Engineering,Related Technical Field,R,Python,2,NA,
San Jose,Enquero,North CA,Data Scientist,Full time,Business Services,NA,Data Mining,Statistics,R,SQL,3,91000,
San Jose,VDart Inc.,North CA,Data Scientist,Full time,Information Technology,NA,Machine Learning,Related Technical Field,R,Python,5,94000,
Culver City,"EDO, Inc.",South CA,Data Scientist,Full time,Unknown,NA,Related Technical Field,NA,R,Python,1,NA,
Menlo Park,WhatsApp,North CA,"Data Scientist, Analytics",Full time,Information Technology,BA/BS,Computer Science,Statistics,SQL,R,4,107000,
San Carlos,Upstart,South CA,Data Scientist,Full time,Finance,MS,Computer Science,Statistics,Python,R,1,125000,
San Jose,Adobe,North CA,Data Scientist AI/ML,Full time,Information Technology,PH.D,Computer Science,Math,Python,Java,1,138000,
Palo Alto,Noodle Analytics,North CA,Senior Data Scientist,Full time,Information Technology,PH.D,Data Management,Electrical Engineering,R,Related Programming Language,1,NA,
San Francisco,Near(Singapore),North CA,Data Scientist,Full time,Information Technology,NA,Statistics,Related Technical Field,Python,R,1,NA,
San Francisco,Prosper,North CA,"Data Scientist, Marketing Analytics",Full time,Unknown,MS,STEM field,Quantitative fields,SQL,Python,2,NA,
San Francisco,MasterCard,North CA,"Senior Analyst, Data Scientist - Brighterion",Full time,Finance,BS,Computer Science,Related Technical Field,SQL,Python,1,150000,
San Francisco,Sift Science,North CA,Senior Machine Learning Engineer,Full time,Information Technology,All levels,Computer Science,Statistics,R,MATLAB,1,128000,
San Francisco,Freenome,North CA,Senior Computational Biologist - Biological and Statistical Modeling,Full time,Biotech & Pharmaceuticals,PH.D,Computational Biology,Related Technical Field,R,Python,1,NA,
Irvine,Skrill,South CA,Jr. Data Analyst,Full time,Finance,BA/BS,Computer Science,Statistics,SQL,R,1,34000,
San Francisco,Good Eggs,North CA,Business Data Analyst,Full time,Retail,BA/BS,Statistics,Math,SQL,Excel,5,74000,
San Francisco,Zynga,North CA,"Data Analyst 3, Growth",Full time,Media,BA/BS,Computer Science,Statistics,SQL,R,5,85000,
Los Angeles,Vitamin T,South CA,Senior Analyst - Data Science,Full time,Business Services,NA,Data Mining,Related Technical Field,SQL,Python,2,NA,
San Francisco,"Evolver, Inc.",North CA,Data Analyst - SME,Full time,Information Technology,BA/BS,Computer Science,Computer Engineering,Excel,Data Governance Tool,4,62000,
Oakland,Mynd,North CA,Data Analyst,Full time,Unknown,BA/BS,Computer Science,Statistics,SQL,Python,3,NA,
San Francisco,Everlane,North CA,Data Analyst/Scientist,Full time,Retail,BA/BS,Quantitative fields,NA,SQL,Python,4,59000,
San Jose,Technosoft Corporation,North CA,Data Analyst,Full time,Information Technology,NA,Related Technical Field,NA,SQL,ETL,1,NA,
Garden Grove,Kush Bottles,South CA,Data Analyst,Full time,Manufacturing,BS,Data Science,Related Technical Field,SQL,HTML,2,NA,
San Mateo,Asurion,North CA,Sr. Product Data Analyst - Virtual Assistant Product,Full time,Insurance,BA/BS,Computer Science,Statistics,SQL,Excel,3,88000,
San Francisco,"Ellation, Inc.",North CA,Data Analyst - Growth Team,Full time,Information Technology,BA/BS,Mathematics,Science,SQL,Related Programming Language,2,66000,
Oakland,MVM,North CA,Data Analyst III (Administrative Support),Full time,Business Services,NA,Related Technical Field,NA,Microsoft Office,NA,2,69000,
San Francisco,Twilio,North CA,"Data Quality Analyst, Business Intelligence",Full time,Information Technology,BA/BS,Computer Science,Related Technical Field,SQL,Related Programming Language,1,77000,
Redwood City,Poshmark,North CA,Senior Data Analyst,Full time,Information Technology,BA/BS,Operations Research,Scala,Management Information Systems,Statistical Tools,2,70000,
Long Beach,Collabera,South CA,Data Analyst/Programmer,Full time,Information Technology,BA/BS,Statistics,Math,MS Office,SQL,2,NA,
Manhattan Beach,Soal Technologies Inc,South CA,Alteryx Data Analyst (no ctc),Full time,Unknown,BA/BS,Computer Science,Information Systems,SQL,Excel,6,NA,
Oakland,APN Software Services Inc.,North CA,Epic Clarity Data Analyst,Full time,Information Technology,BA/BS,Statistics,Finance,Excel,PowerPoint,1,NA,
Santa Cruz,Looker,North CA,"Data Analyst Consultant, Professional Services",Full time,Information Technology,NA,Related Technical Field,NA,SQL,Oracle,3,NA,
San Francisco,Strava,North CA,"Senior Data Analyst, Marketing",Full time,Information Technology,BS/MS,Math,Statistics,SQL,Related Tools for Analysis,4,90000,
Los Angeles,Havas Media,South CA,Junior Data Analyst,Full time,Business Services,NA,Related Technical Field,NA,SQL,Excel,1,34000,
San Francisco,Flexport,North CA,Data Scientist,Full time,Transportation & Logistics,NA,Related Technical Field,NA,Related Tools for Analysis,NA,3,130000,
San Francisco,Udemy,North CA,Data Science Manager (Product and Marketing Decision Science),Full time,Education,NA,Statistics,Machine Learning,SQL,Python,3,NA,
San Francisco,Cloudflare,North CA,Distributed Systems Engineer - Data,Full time,Information Technology,NA,Related Technical Field,NA,Java,Python,1,119000,
Mountain View,Veritas,North CA,Senior Data Science Engineer,Full time,Information Technology,MS/PH.D,Computer Science,Statistics,Python,R,2,143000,
San Francisco,PlanGrid,North CA,Data Analyst,Full time,Information Technology,NA,Related Technical Field,NA,SQL,Python,2,68000,
San Francisco,"The Linde Group, Inc",North CA,Senior IT Engineer,Full time,Information Technology,NA,Related Technical Field,NA,IT Service,Related Tools for Analysis,4,81000,
San Carlos,Education Elements,South CA,Senior Software Engineer,Full time,Education,BS,Computer Science,Engineering,SQL,JavaScript,5,123000,
San Francisco,BOLD,North CA,Data Scientist,Full time,Information Technology,BS/MS,Computer Science,Statistics,SQL,Python,3,133000,
Redwood City,C3 IoT,North CA,Data Scientist,Full time,Information Technology,MS/PH.D,Computer Science,Statistics,JavasScript,R,1,133000,
San Jose,8x8,North CA,Machine Learning Engineer,Full time,Telecommunications,BS/BA,Computer Science,Related Technical Field,SQL,Related Programming Language,5,74000,
Aliso Viejo,AVANIR Pharmaceuticals,South CA,Clinical Data Manager II,Full time,Biotech & Pharmaceuticals,BS/BA,Life sciences,Related Technical Field,SQL,SAS,5,62000,
San Francisco,Singular,North CA,Platform Engineer,Full time,Information Technology,NA,Related Technical Field,NA,Python,C/C++,1,NA,
Culver City,Pacific Rim Printers Mailers,South CA,Data Programmer,Full time,Computer Software,NA,Related Technical Field,NA,SQL,Microsoft Office,5,NA,
San Francisco,"University of California, San Francisco",North CA,Data Scientist,Full time,Unknown,All levels,Computer Science,Statistics,Related Tools for Analysis,Therapeutic Modalities Discovery,1,112000,
San Jose,First Tech Federal Credit Union,North CA,Data Modeler,Full time,Finance,BS/BA,Statistics,Math,SQL,DBMS,7,78000,
San Francisco,Swift Navigation,North CA,Data Infrastructure Engineer,Full time,Manfacturing,NA,Related Technical Field,NA,SQL,Python,3,NA,
Redwood City,Informatica,North CA,"Senior Director, Product Management, Big Data",Full time,Information Technology,NA,Product Management,Related Technical Field,Cloudera,Azure,10,151000,
Redwood City,Informatica,North CA,"Principal User Experience Designer, Data Security Group",Full time,Information Technology,MS,Engineering Psychology,Interaction / Industrial Design,Axure,Photoshop,8,120000,
Carpinteria,Procore Technologies,South CA,Senior Data Analyst,Full time,Information Technology,BS/BA,Computer Science,Statistics,SQL,Excel,3,59000,
Santa Cruz,"Fullpower Technologies, Inc.",North CA,Database Development Engineer,Full time,Information Technology,BS,Computer Science,Related Technical Field,MySQL,Related Programming Language,3,NA,
San Francisco,Federal Reserve Bank of San Francisco,North CA,Data Science Specialist,Full time,Finance,All levels,Computer Science,Statistics,SQL,R,5,NA,
Oakland,Workers Compensation Insurance Rating Bureau of California,North CA,Medical Data Research Analyst,Full time,Insurance,BS/BA,Computer Science,Statistics,SQL,Python,3,NA,
San Francisco,Sitecore,North CA,Senior Manager of Marketing Data & Analytics,Full time,Information Technology,NA,Related Technical Field,NA,SQL,Excel BI Tools,2,134000,
San Francisco,HouseCanary,North CA,Senior Software Engineer - Data,Full time,Information Technology,NA,Software Engineering,Related Technical Field,SQL,Python,5,153000,
San Francisco,Riivos,North CA,Software Engineer (AngularJS),Full time,Information Technology,BS/BA,Computer Science,Engineering,Ember,JavaScript,2,85000,
Emeryville,Amyris,North CA,Data Scientist ~ Scientific Computing,Full time,Biotech & Pharmaceuticals,All levels,Computer Science,Math,Python,R,3,132000,
Redwood City,"Auris Health, Inc.",North CA,"Staff Software Engineer, Advanced Development",Full time,Manufacturing,BS/MS,Computer Science,Computer Engineering,C/C++,R,5,NA,
San Jose,Sleep Number Corporation,North CA,Software Java Engineer,Full time,Manufacturing,All levels,Computer Science,Electrical Engineering,Java,C/C++,5,NA,
San Jose,Arm Holdings,North CA,Senior Data Science Manager,Full time,Information Technology,NA,Engineering,Related Technical Field,Related Programming Language,Related Tools for Analysis,1,NA,
San Francisco,Funding Circle US,North CA,"Senior Data Scientist, Customer Analytics",Full time,Finance,BS/BA,Finance,Related Technical Field,SQL,R,2,147000,
Westwood,UCLA Health,South CA,Programmer Analyst III,Full time,Health Care,BS/BA,Related Technical Field,NA,UNIX,Related Programming Language,2,71000,
San Jose,Signifyd,North CA,Senior Data Scientist,Full time,Information Technology,MS/PH.D,Computer Science,Applied Mathematics,SQL,Python,2,NA,
San Ramon,Five9,North CA,Application Security Engineer,Full time,Telecommunications,BS,Computer Science,Related Technical Field,Java,Python,3,97000,
San Jose,Signifyd,North CA,Sr Fraud Data Analyst,Full time,Information Technology,NA,Related Technical Field,NA,SQL,Tableau,5,NA,
San Jose,Principal Software Design Quality Engineer,North CA,Principal Software Design Quality Engineer,Full time,Health Care,BS/BA,Computer Science,Software Engineering,ISO 14971 (Risk Management),Related Tools for Analysis,10,NA,
El Monte,East West Bank,South CA,Data Analyst,Full time,Finance,BS/BA,Finance,Engineering,SQL,MS Office,2,42000,
San Francisco,First Republic Bank,North CA,Contingent: Data Analyst,Full time,Finance,BA,Computer Science,Math,SQL,Related Tools for Analysis,5,59000,
San Jose,Signifyd,North CA,"Data Scientist,Risk Analytics",Full time,Information Technology,MS/PH.D,Computer Science,Applied Mathematics,SQL,R,2,NA,
San Francisco,Quizlet,North CA,"Senior Data Engineer, Analytics",Full time,Information Technology,NA,Related Technical Field,NA,SQL,Related Programming Language,1,111000,
Santa Monica,VideoAmp,South CA,Data Scientist,Full time,Business Services,PH.D,Data Science,Math,SQL,R,1,108000,
